1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1 2 2 3 3 3 4 4 4 4 5 5 5 6 6 7
1 3 6 10 13 17 29 29 31 40 49 51 61 69 71 89
0 1 2 3 3 4 11 22 35 44 55 67 89 99 150 200
1 1 1 2 3 3 4 11 33 35 55 59 61 71 81 91
4 5 6 7 12 12 22 31 34 43 44 45 45 65 87 123
1 1 2 4 6 11 12 44 55 59 66 67 78 89 90 100
1 11 12 23 30 32 34 40 44 45 50 53 56 60 63 63
12 13 14 56 61 78 89 90 90 99 100 123 170 199 6000 7000
12 13 14 56 61 78 89 90 90 99 100 123 170 199 6000 7000
12 13 14 56 61 78 89 90 90 99 100 123 170 199 6000 7000
12 13 14 56 61 78 89 90 90 99 100 123 170 199 6000 7000
2 23 51 56 63 71 82 93 104 123 231 232 324 345 643 3124
2 23 51 56 63 71 82 93 104 123 231 232 324 345 643 3124
2 23 51 56 63 71 82 93 104 123 231 232 324 345 643 3124
2 23 51 56 63 71 82 93 104 123 231 232 324 345 643 3124
1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4
91 91 91 91 95 95 95 95 96 96 96 96 98 98 98 98
2 2 2 2 19 19 19 19 55 55 55 55 55 55 55 55
6 6 6 6 7 7 7 7 8 8 8 8 9 9 9 9
2 3 5 6 6 7 7 8 8 9 9 14 23 55 67 86
2 3 5 14 22 22 22 22 23 33 33 33 33 55 67 86
2 2 3 3 7 12 12 21 23 43 88 89 90 1000 1212 1212
2 2 3 3 7 12 12 21 23 43 88 89 90 1000 1212 1212
4 5 5 6 6 6 7 7 7 7 8 8 8 9 9 10
1 1 2 2 3 3 21 23 31 62 77 93 234 890 1098 78123
1 3 5 9 11 12 22 43 62 89 123 213 323 423 512 897
12 25 34 50 74 79 100 120 121 122 123 156 333 342 464 1234
1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 23
0 1 1 1 2 2 3 3 4 4 13 42 65 135 1234 23123
0 1 2 2 3 3 4 4 5 234 545 989 2354 2992 3454 12123
1 2 3 4 4 5 19 33 67 67 80 90 98 293 439 599
2 2 12 12 23 32 32 44 44 45 45 76 76 233 342 342
2 2 3 3 4 5 34 81 90 499 499 500 500 1000 1000 1000
0 2 19 33 33 44 44 58 58 128 134 199 345 686 686 1000
1 1 3 4 8 12 19 19 28 28 60 87 99 99 99 99
1 1 1 1 2 2 2 3 3 3 3 8 8 8 8 2908
2 4 4 4 4 4 4 4 4 87 87 87 2314 2314 2314 2314
7 7 7 8 8 8 8 9 9 9 9 10 10 10 10 87
7 23 23 23 32 32 32 32 38 38 38 38 44 44 44 44
